rank,artist,track,preview_url,artwork_url
18,Jeff Beck,Freeway Jam,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/19/ac/d8/19acd878-ca8a-8f56-5535-992b3db48b01/mzaf_3328223887654481482.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/0c/70/69/0c7069ad-0ccf-56b0-df22-d412ceb82c1d/source/100x100bb.jpg
19,Jimi Hendrix,All Along the Watchtower,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/e7/dc/1b/mzm.lpubrreq.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/db/06/08/db060833-059f-6b91-1abc-e1430b921204/source/100x100bb.jpg
20,Led Zeppelin,Stairway to Heaven,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music7/v4/9b/39/d1/9b39d113-52a6-8b20-7026-afd009481c69/mzaf_8440945039656399371.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music1/v4/b0/43/4d/b0434dcd-2cef-1a9d-a35d-486b8dbe2f2c/source/100x100bb.jpg
21,The Rolling Stones,The Last Time,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview62/v4/01/73/b1/0173b176-1206-13b7-45f5-9bfd18968c08/mzaf_4068132988583703046.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music71/v4/18/91/82/189182cb-b35a-b030-8030-d8f039a81858/source/100x100bb.jpg
22,The Who,Behind Blue Eyes,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview118/v4/16/31/c8/1631c8a9-8fab-ed7c-29be-f7b9a6c0cf66/mzaf_2614587309820320460.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/1f/f0/f4/1ff0f4ab-a8ee-f28b-4e75-efa1f963c478/source/100x100bb.jpg
23,Rainbow,Stargazer,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/d9/5d/f6/mzm.euxqdykn.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/99/6e/fd/996efde1-fe7a-1aa9-ddc0-223def6e93e5/source/100x100bb.jpg
24,AC/DC,Highway to Hell,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/89/d3/1f/89d31fd5-ba23-33f4-8ecd-d49f6f26d76f/mzaf_8221395755277409887.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music6/v4/56/9b/e2/569be2a9-2c67-e2ee-1773-12656ba905f8/source/100x100bb.jpg
25,Queen,Killer Queen,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music3/v4/c6/98/f4/c698f440-cf05-91c1-8c7e-97b19355cf36/mzaf_1435374795686895218.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music1/v4/94/92/a3/9492a374-e6e3-8e92-0630-a5761070b0f7/source/100x100bb.jpg
26,Black Sabbath,Heaven and Hell,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/bb/6a/57/mzm.fhxcvlnn.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/03/b6/be/03b6be62-1da9-c047-7f60-cc3c552bf663/source/100x100bb.jpg
27,David Bowie,The Man Who Sold the World (2015 Remastered Version),https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/17/c3/31/17c33133-70e2-7761-cc19-26f9df6d55e3/mzaf_1828847707067745538.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/c6/6f/95/c66f95aa-f76f-7d13-5a5e-26a385257817/source/100x100bb.jpg
28,Ry Cooder,Feelin' Bad Blues,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/89/76/00/mzm.oyvdncfi.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/4e/5b/62/4e5b6231-fc11-98e9-abc9-226259cc8b09/source/100x100bb.jpg
29,Frank Zappa,Dirty Love,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/68/ce/5b/mzi.bljgnskf.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/c0/20/30/c0203023-1d71-f8a3-de29-3cee3861b689/source/100x100bb.jpg
30,Gary Moore,All Your Love,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview118/v4/64/85/05/6485052c-6a40-1366-077c-af40fc3067db/mzaf_8202626756825753180.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/05/8e/31/058e3143-c816-65f6-4cff-8effca39f14b/source/100x100bb.jpg
31,Aerosmith,Dream On,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/70/e7/61/mzm.wjxgxiwo.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/48/75/f5/4875f527-297c-e2ea-216f-1ab1e3331314/source/100x100bb.jpg
32,Neil Young,"Hey Hey, My My (Into the Black)",https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/94/68/61/mzm.wzvvfmiu.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/9d/09/e8/9d09e8c7-bc43-a149-0e14-586fa53de7c0/source/100x100bb.jpg
33,King Crimson,"Moonchild (Including ""The Dream"" and ""The Illusion"")",https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music5/v4/38/ec/9d/38ec9d19-8e53-1763-d762-48608d1bfdd9/mzaf_7422945542698612219.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music5/v4/5f/02/c1/5f02c11e-62cc-c3c9-1ace-b6bba8c93787/source/100x100bb.jpg
34,Rory Gallagher,Bad Penny,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/81/f4/d3/81f4d3bd-7f29-c8e0-2f78-ae8e15664e17/mzaf_5323685712697571493.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/9c/a9/bd/9ca9bdc7-cd53-e47c-dffc-ec8015310b0d/source/100x100bb.jpg
35,Steve Hackett,Supper's Ready,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/08/bf/9e/08bf9e60-b433-b82d-fc64-7988401e6243/mzaf_7597727157609959680.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/34/ec/ba/34ecbabc-30da-a6d2-c1fa-2fb689638b18/source/100x100bb.jpg
36,Rush,Tom Sawyer,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music6/v4/2e/d0/30/2ed030dd-2300-44fc-0fe6-42eb3fe847e2/mzaf_2419092704255837742.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music2/v4/ee/d8/36/eed836f8-33ba-068b-78b4-8d7b170b0542/source/100x100bb.jpg
37,Deep Purple,Sometimes I Feel Like Screaming,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/78/44/24/mzm.usiouidp.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/f5/ca/0e/f5ca0eb8-73c6-6436-c39e-8806bb084d21/source/100x100bb.jpg
38,The Doors,Love Me Two Times,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music2/v4/e9/b6/1a/e9b61a73-4534-82f2-5714-a13e3c3fa446/mzaf_5669926681929674996.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/03/42/ed/0342ed40-fd34-917b-7c4d-96e283723bfb/source/100x100bb.jpg
39,Johnny Winter,Rock Me Baby,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/80/81/b5/mzm.xmfjvdve.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/ef/c7/2c/efc72c5c-f216-4a96-e652-bc4ea999c453/source/100x100bb.jpg
40,Steve Howe,The Golden Mean,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/b5/fc/3e/b5fc3ef2-c61c-f07b-62e9-7511dc2bad13/mzaf_7482258522794886312.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/46/60/4c/46604c1b-45f8-23b0-0d74-5434bcfc4c40/source/100x100bb.jpg
41,Bruce Springsteen,Dancing In the Dark,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/ab/b3/48/abb34824-1510-708e-57d7-870206be5ba2/mzaf_8515316732595919510.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/c8/32/ff/c832ff18-1444-0bb9-d1c3-a2299299fdd4/source/100x100bb.jpg
42,Joe Satriani,Summer Song,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/aa/f0/84/aaf08482-1ac8-beaa-961e-86faa26ec219/mzaf_4619475257469917410.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/64/ed/5d/64ed5d4c-7cf6-3591-b876-67ccadb0b4b9/source/100x100bb.jpg
